model,domain,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star
Claude-Haiku-4.5,competence,-0.1958333333333333,-0.07583333333333334,-0.015833333333333335,-0.05333333333333333,0.7490833333333333,1.0,1.0,1.0,20,0.11416666666666667,0.060833333333333336,0.03833333333333334,0.07,0.31000000000000005
Claude-Haiku-4.5,decision,-0.19833333333333336,-0.01083333333333333,-0.0525,0.046666666666666676,0.7741666666666667,0.9875,1.0,0.9666666666666666,20,0.03666666666666667,0.08333333333333334,0.025833333333333337,0.13083333333333333,0.23500000000000001
Claude-Haiku-4.5,moral,-0.15333333333333338,-0.058333333333333334,-0.020833333333333336,-0.07416666666666666,0.7952083333333333,1.0,1.0,1.0,20,0.10416666666666666,0.030000000000000006,0.04583333333333332,0.0875,0.25749999999999995
GPT-4o-mini,competence,-0.054166666666666675,0.06083333333333335,0.06125,-0.04833333333333334,0.8748750000000001,0.9958333333333332,0.9833333333333334,1.0,20,0.2558333333333333,0.20749999999999996,0.31666666666666665,0.19416666666666665,0.31000000000000005
GPT-4o-mini,decision,0.35416666666666663,0.08416666666666672,0.024999999999999967,0.11500000000000021,0.5788333333333334,0.7541666666666667,0.6666666666666666,0.7666666666666666,20,0.5891666666666666,0.7041666666666668,0.6733333333333333,0.6233333333333334,0.23500000000000001
GPT-4o-mini,moral,0.027500000000000007,-0.06250000000000003,0.014166666666666675,-0.10500000000000004,0.8474166666666667,0.975,0.95,1.0,20,0.28500000000000003,0.18,0.2225,0.19416666666666665,0.25749999999999995
Llama-3.3-70B,competence,-0.1975,-0.0024999999999999883,0.0037500000000000103,0.0016666666666666774,0.7959583333333333,0.9958333333333332,1.0,1.0,20,0.1125,0.11416666666666668,0.11000000000000001,0.1025,0.31000000000000005
Llama-3.3-70B,decision,0.0024999999999999927,-0.010000000000000009,-0.008749999999999994,0.04250000000000004,0.7814166666666666,0.975,0.9666666666666666,0.9666666666666666,20,0.2375,0.28,0.22749999999999998,0.24499999999999997,0.23500000000000001
Llama-3.3-70B,moral,-0.18000000000000002,-0.023333333333333324,-0.001666666666666667,-0.018333333333333333,0.8007500000000001,1.0,1.0,1.0,20,0.0775,0.059166666666666666,0.054166666666666675,0.05750000000000001,0.25749999999999995
Qwen-2.5-72B,competence,-0.04916666666666666,0.02833333333333332,0.03958333333333333,-0.028333333333333377,0.865375,1.0,1.0,1.0,20,0.26083333333333336,0.23249999999999998,0.2891666666666667,0.21000000000000002,0.31000000000000005
Qwen-2.5-72B,decision,0.255,-0.034583333333333244,0.0002083333333333659,-0.041666666666666574,0.7333958333333334,0.9541666666666668,0.9833333333333332,0.9666666666666666,20,0.48999999999999994,0.44833333333333336,0.4554166666666667,0.45499999999999996,0.23500000000000001
Qwen-2.5-72B,moral,-0.08416666666666665,0.015000000000000013,0.031250000000000014,-0.043333333333333335,0.8472916666666667,0.9958333333333333,1.0,1.0,20,0.17333333333333334,0.13,0.18833333333333335,0.12583333333333332,0.25749999999999995
