model,checkability,SRS,ci_lo,ci_hi,n_items
Claude-Haiku-4.5,low,-0.03250000000000001,-0.08666666666666667,0.014166666666666666,20
Claude-Haiku-4.5,medium,-0.042,-0.06933333333333333,-0.016,25
Claude-Haiku-4.5,high,-0.08,-0.11444444444444443,-0.045555555555555564,15
GPT-4o-mini,low,-0.010000000000000005,-0.09250000000000003,0.06666666666666665,20
GPT-4o-mini,medium,0.02666666666666667,-0.06266666666666666,0.12201666666666644,25
GPT-4o-mini,high,0.07888888888888888,0.028861111111111136,0.1311388888888885,15
Llama-3.3-70B,low,0.016666666666666653,-0.08000000000000002,0.12083333333333332,20
Llama-3.3-70B,medium,-0.04533333333333333,-0.13335,0.02800000000000001,25
Llama-3.3-70B,high,0.005555555555555554,-0.05888888888888889,0.06333333333333332,15
Qwen-2.5-72B,low,0.0033333333333333353,-0.095,0.09583333333333335,20
Qwen-2.5-72B,medium,0.0030000000000000027,-0.07233333333333332,0.06867499999999989,25
Qwen-2.5-72B,high,0.002222222222222207,-0.07333333333333335,0.07777777777777777,15
