model,domain,less_checkable,more_checkable,SRS_less,SRS_more,diff,ci_lo,ci_hi,cliffs_delta,n_less,n_more
Claude-Haiku-4.5,competence,medium,high,-0.06388888888888888,-0.08095238095238096,0.0,-0.09451388888888884,0.09166666666666667,0.11904761904761904,6,14
Claude-Haiku-4.5,decision,low,medium,0.0062499999999999995,-0.018181818181818184,0.012499999999999999,-0.03958333333333333,0.07083333333333333,0.25,8,11
Claude-Haiku-4.5,moral,low,medium,-0.05833333333333335,-0.058333333333333334,0.03333333333333333,-0.05208333333333334,0.13541666666666666,0.08333333333333333,12,8
GPT-4o-mini,competence,medium,high,0.005555555555555564,0.08452380952380953,-0.036111111111111115,-0.33888888888888885,0.25277777777777777,-0.047619047619047616,6,14
GPT-4o-mini,decision,low,medium,0.06458333333333333,0.10606060606060605,-0.08124999999999999,-0.3333333333333333,0.12083333333333333,-0.022727272727272728,8,11
GPT-4o-mini,moral,low,medium,-0.05972222222222223,-0.06666666666666665,-0.00833333333333336,-0.16458333333333336,0.13749999999999996,0.0,12,8
Llama-3.3-70B,competence,medium,high,-0.008333333333333326,4.956352788505163e-19,-0.04999999999999999,-0.19722222222222227,0.09722222222222225,-0.023809523809523808,6,14
Llama-3.3-70B,decision,low,medium,0.04999999999999999,-0.062121212121212126,0.15833333333333333,-0.16875,0.6166666666666667,0.18181818181818182,8,11
Llama-3.3-70B,moral,low,medium,-0.00555555555555556,-0.049999999999999996,0.04166666666666666,-0.03958333333333334,0.14375,0.07291666666666667,12,8
Qwen-2.5-72B,competence,medium,high,0.08333333333333333,0.004761904761904745,0.1027777777777778,-0.0027777777777777753,0.23888888888888885,0.10714285714285714,6,14
Qwen-2.5-72B,decision,low,medium,-0.01666666666666666,-0.04772727272727272,-0.034374999999999996,-0.10625,0.0500260416666663,0.011363636363636364,8,11
Qwen-2.5-72B,moral,low,medium,0.016666666666666663,0.012499999999999999,-0.05208333333333334,-0.26666666666666666,0.15625,0.0,12,8
