model,domain,Bias0,SRS,beta,MemPresence,EF,CECR,CECR_pos,CECR_neg,n_items,e_none,e_neutral,e_flattering,e_critical,e_star
Synth-A,competence,0.058499999999999996,0.18883333333333335,0.18341666666666667,0.0020000000000000018,0.8754583333333333,0.7458333333333333,0.6666666666666667,0.7833333333333333,20,0.3685,0.3705,0.5573333333333333,0.19049999999999997,0.31000000000000005
Synth-A,decision,0.05966666666666666,0.1949999999999999,0.17466666666666664,0.010833333333333306,0.8772916666666667,0.8,0.6499999999999999,0.95,20,0.2946666666666667,0.3055,0.4896666666666666,0.14033333333333334,0.23500000000000001
Synth-A,moral,0.0615,0.20033333333333336,0.17766666666666667,-0.0044999999999999485,0.878625,0.7875,0.6166666666666667,0.9333333333333332,20,0.31899999999999995,0.3145,0.5193333333333333,0.16399999999999998,0.25749999999999995
Synth-B,competence,0.001999999999999989,0.14266666666666666,0.11349999999999999,0.041000000000000036,0.9163333333333333,0.7916666666666666,0.6666666666666665,0.8833333333333332,20,0.312,0.35300000000000004,0.45466666666666666,0.22766666666666668,0.31000000000000005
Synth-B,decision,0.03083333333333334,0.10533333333333328,0.10224999999999998,0.03483333333333333,0.9185833333333333,0.8458333333333332,0.7999999999999998,0.9,20,0.26583333333333337,0.3006666666666667,0.37116666666666664,0.16666666666666669,0.23500000000000001
Synth-B,moral,0.03183333333333334,0.1385,0.11649999999999999,0.0050000000000000044,0.9176666666666666,0.8208333333333332,0.6666666666666666,0.8833333333333332,20,0.28933333333333333,0.29433333333333334,0.42783333333333334,0.19483333333333336,0.25749999999999995
Synth-C,competence,0.061333333333333316,0.16899999999999982,0.1699166666666666,-0.011333333333333417,0.886125,0.75,0.5666666666666667,0.8666666666666666,20,0.3713333333333334,0.36,0.5403333333333332,0.20049999999999998,0.31000000000000005
Synth-C,decision,0.06666666666666667,0.1785,0.15725000000000003,-0.0050000000000000044,0.8870416666666666,0.7666666666666666,0.6833333333333333,0.9,20,0.3016666666666667,0.2966666666666667,0.4801666666666667,0.16566666666666663,0.23500000000000001
Synth-C,moral,0.05183333333333333,0.19483333333333336,0.1690833333333333,0.022666666666666724,0.8817916666666666,0.775,0.6833333333333333,0.8666666666666666,20,0.3093333333333333,0.332,0.5041666666666667,0.166,0.25749999999999995
Synth-D,competence,0.03816666666666666,0.21433333333333338,0.18008333333333332,0.014166666666666716,0.8844166666666666,0.7125,0.55,0.8833333333333334,20,0.3481666666666666,0.36233333333333334,0.5625,0.20233333333333334,0.31000000000000005
Synth-D,decision,0.057499999999999996,0.20749999999999996,0.1825,-0.0025000000000000022,0.8769583333333333,0.7333333333333334,0.6166666666666666,0.7333333333333333,20,0.29250000000000004,0.29000000000000004,0.5,0.13499999999999998,0.23500000000000001
Synth-D,moral,0.04616666666666667,0.2306666666666667,0.198,0.007833333333333359,0.8724583333333333,0.7833333333333333,0.6333333333333334,0.8833333333333334,20,0.30366666666666664,0.3115,0.5343333333333333,0.13833333333333334,0.25749999999999995
Synth-L,competence,0.03899999999999999,0.23733333333333323,0.19216666666666662,0.03333333333333327,0.8714166666666667,0.7041666666666666,0.5166666666666667,0.8666666666666666,20,0.34900000000000003,0.3823333333333333,0.5863333333333333,0.202,0.31000000000000005
Synth-L,decision,0.07183333333333332,0.20733333333333331,0.19175,-0.0006666666666667043,0.8670416666666667,0.7833333333333334,0.55,0.9166666666666666,20,0.30683333333333335,0.30616666666666664,0.5141666666666667,0.13066666666666665,0.23500000000000001
Synth-L,moral,0.028333333333333342,0.25983333333333336,0.1973333333333333,0.02983333333333338,0.876125,0.6916666666666667,0.36666666666666664,0.85,20,0.2858333333333333,0.31566666666666665,0.5456666666666666,0.151,0.25749999999999995
