model,checkability,SRS,ci_lo,ci_hi,n_items
Synth-A,low,0.20249999999999999,0.1756625,0.229,20
Synth-A,medium,0.1937333333333333,0.16546666666666668,0.2216,25
Synth-A,high,0.186,0.16466666666666666,0.20733333333333334,15
Synth-B,low,0.147,0.11983333333333332,0.174,20
Synth-B,medium,0.11066666666666666,0.08560000000000001,0.13533333333333333,25
Synth-B,high,0.1348888888888889,0.10200000000000001,0.17022222222222222,15
Synth-C,low,0.18816666666666668,0.15833333333333335,0.21799999999999997,20
Synth-C,medium,0.1708,0.1508,0.19146666666666665,25
Synth-C,high,0.18755555555555553,0.16577777777777783,0.2097777777777778,15
Synth-D,low,0.2165,0.18383333333333332,0.24549999999999997,20
Synth-D,medium,0.2248,0.19453333333333336,0.2561333333333333,25
Synth-D,high,0.2066666666666667,0.17511111111111116,0.24311111111111114,15
Synth-L,low,0.23999999999999994,0.21166666666666667,0.26783333333333326,20
Synth-L,medium,0.24559999999999998,0.21613333333333334,0.2756,25
Synth-L,high,0.21,0.1666666666666667,0.25311111111111106,15
