model,domain,less_checkable,more_checkable,SRS_less,SRS_more,diff,ci_lo,ci_hi,cliffs_delta,n_less,n_more
Synth-A,competence,medium,high,0.20333333333333334,0.18261904761904763,0.01777777777777777,-0.047777777777777745,0.08111111111111109,0.09523809523809523,6,14
Synth-A,decision,low,medium,0.20208333333333334,0.18636363636363634,-0.015416666666666658,-0.05916666666666667,0.03708333333333334,0.022727272727272728,8,11
Synth-A,moral,low,medium,0.2027777777777778,0.19666666666666668,0.02083333333333335,-0.037916666666666626,0.07749999999999999,0.125,12,8
Synth-B,competence,medium,high,0.16444444444444448,0.13333333333333333,0.04222222222222227,-0.03611111111111107,0.1144444444444445,0.35714285714285715,6,14
Synth-B,decision,low,medium,0.13541666666666666,0.07878787878787875,0.058333333333333334,0.0049999999999999975,0.11334374999999988,0.36363636363636365,8,11
Synth-B,moral,low,medium,0.1547222222222222,0.11416666666666667,0.030000000000000002,-0.00916666666666666,0.07416666666666666,0.4791666666666667,12,8
Synth-C,competence,medium,high,0.1266666666666667,0.1871428571428571,-0.05888888888888893,-0.12111111111111113,-0.012777777777777888,-0.5714285714285714,6,14
Synth-C,decision,low,medium,0.16375,0.18787878787878787,-0.018333333333333326,-0.06291666666666665,0.026250000000000002,-0.20454545454545456,8,11
Synth-C,moral,low,medium,0.2044444444444445,0.18041666666666667,0.04666666666666668,-0.007916666666666645,0.09541666666666665,0.22916666666666666,12,8
Synth-D,competence,medium,high,0.22222222222222224,0.21095238095238097,0.018333333333333354,-0.021111111111111063,0.0655555555555556,0.30952380952380953,6,14
Synth-D,decision,low,medium,0.1983333333333333,0.21969696969696972,-0.017500000000000033,-0.09833333333333333,0.06417708333333315,-0.06818181818181818,8,11
Synth-D,moral,low,medium,0.22861111111111113,0.23374999999999996,0.01666666666666672,-0.05749999999999994,0.10250000000000004,-0.14583333333333334,12,8
Synth-L,competence,medium,high,0.2705555555555556,0.22309523809523807,0.014444444444444426,-0.06722222222222224,0.08444444444444445,0.2857142857142857,6,14
Synth-L,decision,low,medium,0.20333333333333337,0.22666666666666668,-0.00875,-0.09375,0.06375000000000001,-0.11363636363636363,8,11
Synth-L,moral,low,medium,0.2644444444444444,0.2529166666666667,0.008333333333333356,-0.041666666666666644,0.059583333333333384,0.20833333333333334,12,8
