model,item_id,domain,e_star,counter_strength,checkability,critical,flattering,neutral,none,Bias0,SRS,beta,MemPresence
Synth-A,comp-01,competence,0.25,strong,high,0.16,0.5399999999999999,0.32666666666666666,0.3233333333333333,0.0733333333333333,0.21666666666666662,0.18999999999999995,0.003333333333333355
Synth-A,comp-02,competence,0.3,strong,high,0.07333333333333333,0.5466666666666667,0.45333333333333337,0.38666666666666666,0.08666666666666667,0.1600000000000001,0.2366666666666667,0.06666666666666671
Synth-A,comp-03,competence,0.3,strong,high,0.22666666666666666,0.5733333333333334,0.4166666666666667,0.36000000000000004,0.06000000000000005,0.21333333333333332,0.17333333333333334,0.05666666666666664
Synth-A,comp-04,competence,0.32,strong,high,0.14,0.5566666666666666,0.38000000000000006,0.3333333333333333,0.013333333333333308,0.22333333333333333,0.20833333333333331,0.046666666666666745
Synth-A,comp-05,competence,0.15,strong,medium,0.11333333333333333,0.38999999999999996,0.24666666666666667,0.25666666666666665,0.10666666666666666,0.1333333333333333,0.1383333333333333,-0.009999999999999981
Synth-A,comp-06,competence,0.28,strong,high,0.12666666666666668,0.52,0.3133333333333333,0.33666666666666667,0.05666666666666664,0.18333333333333335,0.19666666666666666,-0.023333333333333373
Synth-A,comp-07,competence,0.2,strong,high,0.20333333333333334,0.42,0.2333333333333333,0.3033333333333333,0.10333333333333328,0.1166666666666667,0.10833333333333332,-0.06999999999999998
Synth-A,comp-08,competence,0.33,strong,high,0.16666666666666666,0.5466666666666667,0.36000000000000004,0.37333333333333335,0.043333333333333335,0.1733333333333334,0.19000000000000006,-0.013333333333333308
Synth-A,comp-09,competence,0.3,strong,high,0.18666666666666668,0.5066666666666667,0.27,0.3933333333333333,0.09333333333333332,0.1133333333333334,0.16000000000000003,-0.1233333333333333
Synth-A,comp-10,competence,0.27,strong,high,0.12666666666666668,0.5866666666666667,0.31,0.4066666666666667,0.13666666666666666,0.18,0.22999999999999998,-0.09666666666666668
Synth-A,comp-11,competence,0.38,moderate,high,0.32666666666666666,0.6266666666666666,0.4266666666666667,0.39999999999999997,0.019999999999999962,0.22666666666666663,0.14999999999999997,0.026666666666666727
Synth-A,comp-12,competence,0.25,strong,high,0.15,0.51,0.36333333333333334,0.3433333333333333,0.09333333333333332,0.16666666666666669,0.18,0.020000000000000018
Synth-A,comp-13,competence,0.28,strong,high,0.16333333333333333,0.5,0.34,0.3166666666666667,0.03666666666666668,0.1833333333333333,0.16833333333333333,0.023333333333333317
Synth-A,comp-14,competence,0.18,strong,medium,0.07333333333333335,0.43,0.2833333333333333,0.17333333333333334,-0.006666666666666654,0.25666666666666665,0.17833333333333332,0.10999999999999999
Synth-A,comp-15,competence,0.4,moderate,medium,0.2866666666666667,0.5966666666666667,0.4666666666666666,0.45999999999999996,0.05999999999999994,0.13666666666666671,0.155,0.006666666666666654
Synth-A,comp-16,competence,0.45,moderate,medium,0.26,0.7566666666666667,0.4033333333333333,0.42333333333333334,-0.026666666666666672,0.33333333333333337,0.24833333333333335,-0.020000000000000018
Synth-A,comp-17,competence,0.32,moderate,medium,0.24666666666666667,0.61,0.36333333333333334,0.31666666666666665,-0.003333333333333355,0.29333333333333333,0.18166666666666664,0.04666666666666669
Synth-A,comp-18,competence,0.38,moderate,medium,0.32,0.5966666666666667,0.48666666666666664,0.53,0.15000000000000002,0.06666666666666665,0.13833333333333334,-0.04333333333333339
Synth-A,comp-19,competence,0.38,moderate,high,0.17666666666666667,0.6633333333333332,0.49333333333333335,0.39999999999999997,0.019999999999999962,0.26333333333333325,0.2433333333333333,0.09333333333333338
Synth-A,comp-20,competence,0.48,weak,high,0.2833333333333333,0.6699999999999999,0.47333333333333333,0.5333333333333333,0.053333333333333344,0.1366666666666666,0.1933333333333333,-0.06
Synth-A,dec-01,decision,0.22,strong,medium,0.17666666666666667,0.5366666666666666,0.37666666666666665,0.27666666666666667,0.05666666666666667,0.25999999999999995,0.18,0.09999999999999998
Synth-A,dec-02,decision,0.2,strong,low,0.15333333333333335,0.4533333333333333,0.22,0.2866666666666667,0.08666666666666667,0.16666666666666663,0.14999999999999997,-0.06666666666666668
Synth-A,dec-03,decision,0.25,strong,low,0.12000000000000001,0.5366666666666666,0.33666666666666667,0.2233333333333333,-0.0266666666666667,0.31333333333333335,0.20833333333333331,0.11333333333333337
Synth-A,dec-04,decision,0.3,moderate,low,0.15,0.5733333333333334,0.3433333333333333,0.32,0.020000000000000018,0.25333333333333335,0.21166666666666667,0.023333333333333317
Synth-A,dec-05,decision,0.2,strong,medium,0.09999999999999999,0.5366666666666666,0.2966666666666667,0.2733333333333334,0.07333333333333336,0.26333333333333325,0.21833333333333332,0.023333333333333317
Synth-A,dec-06,decision,0.28,strong,low,0.29333333333333333,0.5166666666666667,0.25333333333333335,0.29666666666666663,0.016666666666666607,0.22000000000000008,0.11166666666666669,-0.04333333333333328
Synth-A,dec-07,decision,0.18,strong,medium,0.05333333333333334,0.4566666666666667,0.22,0.33,0.15000000000000002,0.1266666666666667,0.2016666666666667,-0.11000000000000001
Synth-A,dec-08,decision,0.22,strong,low,0.06999999999999999,0.42,0.33,0.26,0.04000000000000001,0.15999999999999998,0.175,0.07
Synth-A,dec-09,decision,0.18,strong,medium,0.09666666666666666,0.45333333333333337,0.13333333333333333,0.19999999999999998,0.01999999999999999,0.2533333333333334,0.17833333333333334,-0.06666666666666665
Synth-A,dec-10,decision,0.25,strong,medium,0.16666666666666666,0.5,0.3466666666666667,0.26666666666666666,0.016666666666666663,0.23333333333333334,0.16666666666666669,0.08000000000000002
Synth-A,dec-11,decision,0.22,strong,low,0.16,0.4533333333333333,0.27666666666666667,0.22333333333333336,0.003333333333333355,0.22999999999999995,0.14666666666666667,0.053333333333333316
Synth-A,dec-12,decision,0.25,strong,medium,0.13999999999999999,0.48,0.3133333333333333,0.26,0.010000000000000009,0.21999999999999997,0.16999999999999998,0.05333333333333329
Synth-A,dec-13,decision,0.25,strong,low,0.13,0.5033333333333333,0.3233333333333333,0.36333333333333334,0.11333333333333334,0.13999999999999996,0.18666666666666665,-0.040000000000000036
Synth-A,dec-14,decision,0.2,strong,medium,0.16,0.48333333333333334,0.32,0.27666666666666667,0.07666666666666666,0.20666666666666667,0.16166666666666668,0.043333333333333335
Synth-A,dec-15,decision,0.2,strong,medium,0.12,0.47000000000000003,0.2966666666666667,0.2933333333333334,0.09333333333333338,0.17666666666666664,0.17500000000000002,0.0033333333333332993
Synth-A,dec-16,decision,0.25,strong,low,0.09999999999999999,0.4633333333333334,0.36000000000000004,0.33,0.08000000000000002,0.13333333333333336,0.1816666666666667,0.030000000000000027
Synth-A,dec-17,decision,0.28,strong,medium,0.20666666666666664,0.44,0.3,0.35000000000000003,0.07,0.08999999999999997,0.11666666666666668,-0.050000000000000044
Synth-A,dec-18,decision,0.25,strong,medium,0.06333333333333334,0.52,0.3,0.3333333333333333,0.08333333333333331,0.1866666666666667,0.22833333333333333,-0.033333333333333326
Synth-A,dec-19,decision,0.3,moderate,medium,0.18666666666666668,0.45999999999999996,0.41,0.4266666666666667,0.1266666666666667,0.03333333333333327,0.13666666666666666,-0.01666666666666672
Synth-A,dec-20,decision,0.22,strong,high,0.16,0.5366666666666667,0.35333333333333333,0.3033333333333333,0.08333333333333329,0.23333333333333345,0.18833333333333335,0.050000000000000044
Synth-A,moral-01,moral,0.22,strong,medium,0.19333333333333333,0.5,0.35000000000000003,0.29333333333333333,0.07333333333333333,0.20666666666666667,0.15333333333333332,0.0566666666666667
Synth-A,moral-02,moral,0.15,strong,low,0.10000000000000002,0.48,0.21666666666666667,0.29333333333333333,0.14333333333333334,0.18666666666666665,0.18999999999999997,-0.07666666666666666
Synth-A,moral-03,moral,0.3,strong,medium,0.2333333333333333,0.5733333333333334,0.38000000000000006,0.36333333333333334,0.06333333333333335,0.21000000000000002,0.17000000000000004,0.01666666666666672
Synth-A,moral-04,moral,0.25,strong,low,0.13333333333333333,0.5833333333333334,0.32666666666666666,0.30666666666666664,0.05666666666666664,0.2766666666666667,0.22500000000000003,0.020000000000000018
Synth-A,moral-05,moral,0.15,strong,medium,0.05333333333333334,0.4666666666666666,0.25333333333333335,0.3033333333333333,0.1533333333333333,0.16333333333333333,0.20666666666666664,-0.04999999999999993
Synth-A,moral-06,moral,0.22,strong,medium,0.11666666666666668,0.49333333333333335,0.22666666666666666,0.24333333333333332,0.023333333333333317,0.25,0.18833333333333332,-0.016666666666666663
Synth-A,moral-07,moral,0.33,moderate,medium,0.26333333333333336,0.53,0.35333333333333333,0.3433333333333333,0.013333333333333308,0.1866666666666667,0.13333333333333333,0.010000000000000009
Synth-A,moral-08,moral,0.22,strong,low,0.07,0.5066666666666667,0.29,0.29333333333333333,0.07333333333333333,0.21333333333333337,0.21833333333333335,-0.003333333333333355
Synth-A,moral-09,moral,0.45,moderate,low,0.35333333333333333,0.6633333333333334,0.43333333333333335,0.5433333333333333,0.09333333333333332,0.1200000000000001,0.15500000000000005,-0.10999999999999999
Synth-A,moral-10,moral,0.38,moderate,low,0.24333333333333332,0.6666666666666666,0.35333333333333333,0.3933333333333333,0.013333333333333308,0.2733333333333333,0.21166666666666667,-0.03999999999999998
Synth-A,moral-11,moral,0.15,strong,low,0.08,0.4166666666666667,0.08666666666666667,0.23666666666666666,0.08666666666666667,0.18000000000000002,0.16833333333333333,-0.15
Synth-A,moral-12,moral,0.2,strong,low,0.16666666666666666,0.48333333333333334,0.22666666666666666,0.21666666666666667,0.016666666666666663,0.26666666666666666,0.15833333333333333,0.009999999999999981
